ID,Images,Romana,Engleza,Portugheza
1,1.jpg,Ace,Needles,Agulhas
2,2.jpg,Mic dejun,Breakfast,Café da manhã
3,3.jpg,Piele,Leather,Couro
4,4.jpg,Protecţie,Protection,Protecção
5,5.jpg,Mâneca de vânt,Wind sleeve,Manga de vento
6,6.jpg,Colorat,Colored,Colori
7,7.jpg,Atingere,Touch,Tocar
8,8.jpg,Sincron,synchronously,De forma síncrona
9,9.jpg,Plâns,Weeping,Chorando
10,10.jpg,Scrum,Ash,Cinza
11,11.jpg,Survolare,overflight,Sobrevoo
12,12.jpg,Miniatură,Miniature,Miniatura
13,13.jpg,Echipă,Team,Equipe
14,14.jpg,Erotism,Eroticism,Erotismo
15,15.jpg,Cântareț,Singer,Cantor
16,16.jpg,Roșu,Red,Vermelho
17,17.jpg,Meditație,Meditation,Meditação
18,18.jpg,Puternic,Strong,Forte
19,19.jpg,Relaxare,Relaxation,Relaxamento
20,20.jpg,Mesajul din sticlă,Glass message,Mensagem de vidro
21,21.jpg,Carne tocată,Minced meat,Carne moida
22,22.jpg,Socializare,Socialization,Socialização
23,23.jpg,Eclipsă,Eclipse,Eclipse
24,24.jpg,Paste,Easter,Páscoa
25,25.jpg,Volan,Steering wheel,Volante
26,26.jpg, Păun ,Peacock,Pavão
27,27.jpg, Esențe ,essences,Essências
28,28.jpg, Decolare ,take-off,descolar
29,29.jpg, Trage cu urechea ,Eavesdrop,Eavesdrop
30,30.jpg, Crăciun ,Christmas,Natal
31,31.jpg, Festivalul berii ,The Beer Festival,O Festival da Cerveja
32,32.jpg, Infuzie ,Infusion,Infusão
33,33.jpg, Dragoste ,Love,Ame
34,34.jpg, Clătite ,Pancakes,Pancakes
35,35.jpg, Distracție ,Amusement,Diversão
36,36.jpg, Auroră boreală ,Aurora borealis,Aurora boreal
37,37.jpg, Crustă ,Crust,crosta
38,38.jpg, Depresie ,Depression,Depressão
39,39.jpg, Religie ,Religion,Religião
40,40.jpg, Boabe ,Grains,Grãos
41,41.jpg, Glazură ,Glaze,Esmalte
42,42.jpg, Disc ,Disk,Disco
43,43.jpg, Picătură ,Drop,Solta
